"id","name","province_id","county_id","sector_id","code"
"1391","سراب","30","428","553","1303040001"
"1392","سراب باغ","6","3","336","1606030002"
"1393","سراب سفلی","9","297","60","1403030002"
"130","استبرق","21","279","882","0807010001"
"131","استخرپشت","27","424","1089","0219020001"
"135","اسحق آباد","11","432","310","0917020002"
"138","اسفندان","28","344","987","0011010001"
"1301","زرقان","17","226","833","0730010001"
"1303","زرگان","13","63","1085","0624020002"
"1305","زری","2","174","458","0403050001"
"1307","زرین","11","136","425","0936020001"
"1312","زرینه رود","2","411","671","0408030004"
"1314","زرینه رودجنوبی","2","411","671","0408030002"
"1315","زرینه رودشمالی","2","411","671","0408030003"
"1320","زمکان جنوبی","22","128","316","0512030001"
"1321","زمکان شمالی","22","128","316","0512030002"
"1325","زنگبار","2","110","659","0415020002"
"1326","زنگلانلو","11","179","565","0907020002"
"1328","زنگی آباد","21","338","887","0808050005"
"1329","زنوزق","1","391","649","0307020004"
"1331","زوزن","11","169","171","0919030001"
"1332","زولاچای","2","255","666","0405010002"
"1337","زهمکان","21","299","221","0822020002"
"1341","زیبد","11","369","469","0915030001"
"1342","زیدآباد","21","264","322","0806040001"
"1343","زیرآب","17","229","834","0719020003"
"1355","ساحلی","27","56","957","0216020001"
"1357","سادات","13","374","774","0617010002"
"1361","ساردوییه","21","138","329","0803010002"
"1362","ساروق","2","122","141","0412020002"
"1363","ساروق","28","19","330","001030001"
"1364","ساری سو","2","383","64","0406050002"
"1365","ساق","11","224","356","0935020001"
"1366","سالمی","13","268","243","0611020001"
"1370","سبز پوش","17","361","20","0727020002"
"1377","سجادرود","27","55","99","0202030001"
"1379","سخت سر","27","203","962","0206010003"
"1384","سده","17","39","335","0703010003"
"1385","سده","28","19","977","001020005"
"1386","سرآسیاب فرسنگی","21","338","887","0808050006"
"1390","سراب","22","258","908","0505010004"
"1394","سراب علیا","9","297","60","1403030001"
"1395","سراب قامیش","20","259","866","1204030007"
"1397","سرابیز","23","58","892","1707010001"
"140","اسفندک","16","240","1043","1106060002"
"1403","سرباز","16","242","806","1123010001"
"1413","سرخون","29","82","992","2202040008"
"1415","سردابه","3","20","584","2401010004"
"1417","سرداران","30","335","1008","1305020007"
"1419","سردرودسفلی","30","209","344","1308010002"
"142","اسکل آباد","16","120","796","1121010001"
"1420","سردرودعلیا","30","209","344","1308010003"
"1421","سردسیر","4","86","599","1024010001"
"1422","سردشت","9","377","296","1404050001"
"1425","سردشت","29","75","991","2213010002"
"1428","سررودجنوبی","23","90","894","1701030003"
"1429","سررودشمالی","23","90","894","1701030004"
"143","اسلام آباد","3","103","32","2406040001"
"1430","سرشیو","20","393","347","1206020001"
"1431","سرفاریاب","23","145","348","1706020001"
"1434","سرکل","20","393","869","1206030002"
"1435","سرکور","16","242","806","1123010002"
"1436","سرگل","24","417","512","2707050002"
"1438","سرمستان","7","197","2","1805030002"
"1445","سعید آباد","8","108","154","2320020002"
"1446","سعیدآباد","5","235","620","3002010001"
"1447","سعیدآباد","8","282","690","2309020009"
"1448","سعیدآباد","14","50","780","1906020003"
"1451","سفالگران","30","93","561","1307010001"
"1452","سفلی","4","21","320","1001020001"
"1454","سفیدابه","16","434","408","1115020002"
"1456","سفیددشت","4","7","597","1018020001"
"1458","سفیدکوه","30","398","331","1302020004"
"1460","سگزآباد","18","91","856","2601040005"
"1465","سلطانعلی","24","371","926","2706040004"
"1466","سلطانیه","14","254","784","1910010002"
"1467","سلگی","30","428","235","1303010002"
"1472","سنبل آباد","14","254","784","1910010001"
"1474","سنجبدجنوبی","3","349","446","2407020002"
"1475","سنجبدشرقی","3","162","588","2403040003"
"1476","سنجبدشمالی","3","349","590","2407010001"
"1477","سنجبدغربی","3","349","590","2407010002"
"1478","سندرک","29","416","358","2205020003"
"1479","سندمیرثویان","16","187","799","1122010002"
"148","اسماعیل آباد","8","94","104","2319020001"
"1482","سنگان","16","152","798","1103010003"
"1483","سنگر","12","298","749","2805020001"
"1485","سنگستان","30","443","1011","1304070004"
"1487","سورسور","20","334","1034","1208020002"
"1488","سورک","29","130","570","2206030002"
"149","اسماعیل آباد","16","152","798","1103010006"
"1490","سوری","26","220","362","1511010001"
"141","اسفیوردشوراب","27","233","963","0207030001"
"144","اسلام آباد","21","138","874","0803040002"
"145","اسلام آباد","21","227","880","0805020001"
"147","اسلامیه","21","214","877","0804020002"
"1396","سراب قلعه شاهین","22","244","460","0504020002"
"1398","سراجوی جنوبی","1","389","338","0306030001"
"1399","سراجوی شرقی","1","389","338","0306030002"
"1400","سراجوی شمالی","1","389","648","0306020003"
"1401","سراجوی غربی","1","389","648","0306020004"
"1402","سراوان","25","211","360","0105020002"
"1404","سربنان","21","227","880","0805020005"
"1405","سرپنیران","17","105","825","0723010001"
"1406","سرجام","11","396","16","0916010004"
"1407","سرجولکی","13","12","184","0626020001"
"1408","سرچشمه","21","214","877","0804020009"
"1409","سرچهان","17","245","836","0732010002"
"1410","سرخ قلعه","21","326","886","0816020002"
"1411","سرخس","11","246","732","0920020003"
"1412","سرخکلا","27","260","324","0208030001"
"1414","سرخه","13","276","435","0614030002"
"1416","سردارآباد","13","277","771","0612020001"
"1423","سردشت","13","95","323","0606020002"
"1424","سردشت","13","183","345","0608010004"
"1426","سردصحرا","1","115","640","0303030006"
"1427","سردق","11","64","1099","0931020002"
"1432","سرفیروزآباد","22","339","448","0502030002"
"1433","سرقلعه","22","244","907","0504010009"
"1437","سرله","13","59","1048","0615040001"
"1439","سرناباد","17","238","1091","0706030001"
"1440","سروستان","17","87","1023","0716030001"
"1441","سروستان","17","251","837","0725020001"
"1442","سرولایت","11","432","349","0917030002"
"1443","سطر","22","258","496","0505020002"
"1444","سعادت آباد","21","264","125","0806020002"
"1449","سعیدیه","13","184","86","0609010002"
"1450","سغدر","21","138","158","0803020002"
"1453","سفلی","17","156","481","0729010002"
"1455","سفیدار","17","161","829","0734010004"
"1457","سفیدسنگ","11","308","464","0922010001"
"1461","سلامی","11","169","352","0919040002"
"1462","سلدوز","2","423","672","0409020003"
"1463","سلطان آباد","11","173","726","0938010001"
"1464","سلطان آباد","13","205","353","0610040001"
"1468","سلوک","1","440","653","0311020002"
"1469","سلیمان","11","224","356","0935020002"
"1470","سمام","25","42","277","0113010001"
"1471","سمغان","17","350","845","0733010002"
"1473","سنجابی","22","339","507","0502070001"
"1480","سنگ بست","11","308","734","0922020002"
"1481","سنگ سفید","28","168","452","0012010003"
"1484","سنگر","25","211","360","0105020003"
"1486","سودلانه","11","328","736","0913030002"
"1489","سورمق","17","2","821","0701040004"
"1491","سورین","13","444","200","0618020002"
"1492","سوزا","29","323","399","2204010002"
"1495","سولقان","8","126","500","2301010001"
"1499","سه قلعه","10","241","367","2906020002"
"1501","سهرورد","14","155","781","1903030005"
"1502","سهروفیروزان","4","310","133","1008010003"
"1503","سهرین","14","230","451","1904060003"
"1508","سیاه منصور","20","98","861","1202030006"
"1509","سیاهرود","8","126","686","2301020001"
"1512","سیاهو","29","82","992","2202040007"
"1513","سیب وسوران","16","263","807","1114010001"
"1514","سیدابراهیم","6","196","313","1603010001"
"1516","سیدجمال الدین","30","29","1002","1306010006"
"1517","سیدشهاب","30","125","1004","1301020003"
"1519","سیدناصرالدین","6","196","313","1603010002"
"1523","سیری","29","17","989","2201020003"
"1525","سیریک","29","266","999","2212020002"
"1527","سیس","20","195","90","1210020002"
"1528","سیستان","4","37","510","1002020006"
"1531","سیلاخور","26","193","372","1505010002"
"1532","سیلاخورشرقی","26","27","945","1507020002"
"1533","سیلتان","20","98","861","1202030004"
"1535","سیمینه رود","30","93","1003","1307020002"
"1536","سین","4","68","598","1022020001"
"1538","سیوکانلو","12","284","748","2804020004"
"154","اشترجان","4","310","611","1008020004"
"1541","شاپورآباد","4","68","213","1022010002"
"1542","شاخن","10","99","707","2901040007"
"1543","شاخنات","10","99","707","2901040003"
"1544","شارک","16","325","145","1118030002"
"1545","شاسکوه","10","232","380","2909030001"
"1546","شال","3","162","385","2403030002"
"1547","شالیار","20","250","54","1209010002"
"155","اشترینان","26","71","37","1502010001"
"1552","شاه جهان","12","298","749","2805020002"
"1553","شاهرود","3","162","385","2403030003"
"1555","شاهو","20","334","868","1208010003"
"1556","شباب","6","146","389","1604040001"
"1557","شبانکاره","7","185","390","1803020002"
